ID	ERR1971003_profiled_metagenome	ERR1971004_profiled_metagenome	ERR1971005_profiled_metagenome	ERR1971006_profiled_metagenome	ERR1971007_profiled_metagenome	ERR1971008_profiled_metagenome	ERR1971009_profiled_metagenome	ERR1971010_profiled_metagenome	ERR1971011_profiled_metagenome	ERR1971012_profiled_metagenome	ERR1971013_profiled_metagenome	ERR1971014_profiled_metagenome	ERR1971015_profiled_metagenome	ERR1971016_profiled_metagenome	ERR1971017_profiled_metagenome	ERR1971018_profiled_metagenome	ERR1971019_profiled_metagenome	ERR1971020_profiled_metagenome	ERR1971021_profiled_metagenome	ERR1971022_profiled_metagenome	ERR1971023_profiled_metagenome	ERR1971024_profiled_metagenome	ERR1971025_profiled_metagenome	ERR1971026_profiled_metagenome	ERR1971027_profiled_metagenome	ERR1971028_profiled_metagenome	ERR1971029_profiled_metagenome	ERR1971030_profiled_metagenome	ERR1971031_profiled_metagenome
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	0.0	0.0	0.0	0.0	0.0	0.00063	0.00254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium|t__Bifidobacterium_dentium_unclassified	0.0	0.0	0.0	0.0	0.0	0.00063	0.00254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	2.62456	5.8738	1.96624	4.92531	2.38249	4.36191	0.0	0.36606	2.74697	3.0511	0.0004	0.23164	0.25524	0.1698	0.67571	0.20706	0.1376	0.0026	0.03861	0.0	0.38305	0.29915	0.06291	1.08175	0.75602	0.43046	0.00074	0.06419	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__Bifidobacterium_longum_unclassified	1.39511	5.8738	1.96624	4.92531	2.38249	4.36191	0.0	0.36606	2.74697	3.0511	0.0004	0.05723	0.25524	0.1698	0.67571	0.20706	0.1376	0.0026	0.03861	0.0	0.13191	0.29915	0.06291	1.08175	0.75602	0.43046	0.00074	0.06419	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__GCF_000497735	1.22945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	0.01908	0.46435	0.0	0.0	0.0	2.31217	0.0	0.08785	0.0	0.32661	0.0	0.0	0.02633	0.0	0.0	0.0	0.05297	0.0	0.00792	0.0	0.00574	0.05412	0.0	0.0	0.0	0.25265	0.0	0.02894	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum|t__GCF_000173435	0.01908	0.46435	0.0	0.0	0.0	2.31217	0.0	0.08785	0.0	0.32661	0.0	0.0	0.02633	0.0	0.0	0.0	0.05297	0.0	0.00792	0.0	0.00574	0.05412	0.0	0.0	0.0	0.25265	0.0	0.02894	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	2.20037	4.28157	1.89441	3.13744	1.1469	9.68958	1.24615	1.66434	0.2985	2.23088	0.0	0.24188	0.36289	0.22007	0.33229	0.11447	0.35146	0.151	0.22428	0.0	0.58788	0.15069	0.13327	0.56725	0.25874	0.93417	0.28679	0.38294	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	2.20037	4.28157	1.89441	3.13744	1.1469	9.68958	1.24615	1.66434	0.2985	2.23088	0.0	0.24188	0.36289	0.22007	0.33229	0.11447	0.35146	0.151	0.22428	0.0	0.58788	0.15069	0.13327	0.56725	0.25874	0.93417	0.28679	0.38294	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia	0.00344	0.04902	0.05112	0.24765	0.36469	0.34096	0.13971	0.05009	0.05701	0.21767	0.0	0.00074	0.00762	0.01063	0.07687	0.0581	0.02148	0.03511	0.00923	0.0	0.0	0.00135	0.00553	0.06116	0.08778	0.02344	0.0353	0.00525	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens	0.00344	0.04902	0.05112	0.24765	0.36469	0.34096	0.13971	0.05009	0.05701	0.21767	0.0	0.00074	0.00762	0.01063	0.07687	0.0581	0.02148	0.03511	0.00923	0.0	0.0	0.00135	0.00553	0.06116	0.08778	0.02344	0.0353	0.00525	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens|t__GCF_000478885	0.00344	0.04902	0.05112	0.24765	0.36469	0.34096	0.13971	0.05009	0.05701	0.21767	0.0	0.00074	0.00762	0.01063	0.07687	0.0581	0.02148	0.03511	0.00923	0.0	0.0	0.00135	0.00553	0.06116	0.08778	0.02344	0.0353	0.00525	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7e-05	0.00034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_parvulum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7e-05	0.00034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_parvulum|t__GCF_000024225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7e-05	0.00034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	2.1943	4.17405	1.7909	2.86377	0.53998	8.36082	0.99587	1.54165	0.00185	1.97507	0.0	0.24107	0.35271	0.20259	0.25142	0.03302	0.30071	0.10111	0.20713	0.0	0.58706	0.14711	0.12629	0.50113	0.11606	0.84895	0.21812	0.36405	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	2.0326	4.17405	1.7909	2.86377	0.53998	8.36082	0.98124	1.54165	0.00139	1.97507	0.0	0.22923	0.35271	0.20259	0.25142	0.03302	0.30071	0.10111	0.20713	0.0	0.55827	0.14711	0.12629	0.50113	0.11606	0.84895	0.21552	0.36405	0.0
